4.22|0.001
9.51|0.001
17.98|0.001
26.44|0.001
34.91|0.002
43.37|0.003
51.84|0.004
60.30|0.004
66.65|0.005
71.94|0.006
78.29|0.006
86.75|0.006
95.22|0.006
103.69|0.006
113.22|0.006
124.85|0.008
135.44|0.008
143.89|0.008
152.37|0.008
160.82|0.008
169.30|0.009
176.70|0.010
185.69|0.010
193.63|0.010
202.09|0.010
211.62|0.010
222.20|0.010
230.67|0.012
238.07|0.012
246.54|0.012
255.00|0.012
264.52|0.012
273.00|0.012
283.57|0.013
291.51|0.014
299.44|0.015
307.91|0.015
316.38|0.015
324.85|0.017
334.89|0.017
343.89|0.017
353.41|0.017
365.05|0.017
373.52|0.017
381.98|0.018
390.45|0.019
398.91|0.019
408.44|0.019
417.96|0.020
426.43|0.020
434.89|0.021
443.36|0.021
451.82|0.021
461.35|0.022
471.93|0.023
480.39|0.023
488.86|0.024
496.26|0.024
503.67|0.024
512.13|0.025
520.60|0.025
529.07|0.026
538.06|0.026
546.00|0.026
554.47|0.026
561.87|0.027
570.34|0.027
578.80|0.028
587.27|0.028
595.73|0.028
604.19|0.028
612.66|0.028
622.18|0.029
632.76|0.029
641.23|0.030
649.17|0.030
657.10|0.030
665.57|0.030
674.03|0.030
683.56|0.031
694.13|0.032
702.61|0.032
711.60|0.033
719.53|0.033
728.00|0.033
735.40|0.034
743.88|0.035
752.34|0.035
760.27|0.035
768.21|0.035
778.79|0.036
791.49|0.036
799.96|0.036
807.36|0.037
815.83|0.037
825.35|0.037
834.88|0.037
843.34|0.038
851.81|0.039
860.80|0.039
868.73|0.039
878.25|0.039
886.72|0.040
896.25|0.040
904.71|0.041
913.17|0.041
921.64|0.042
930.11|0.042
938.58|0.042
948.10|0.043
957.62|0.044
966.09|0.044
974.55|0.044
983.02|0.044
992.54|0.044
1003.12|0.045
1011.59|0.046
1020.05|0.046
1028.52|0.046
1036.98|0.046
1045.44|0.046
1052.86|0.048
1061.32|0.048
1069.78|0.048
1078.24|0.048
1086.72|0.048
1096.23|0.049
1107.35|0.050
1115.28|0.050
1123.75|0.050
1132.21|0.050
1140.68|0.050
1149.14|0.051
1158.14|0.053
1166.07|0.053
1174.54|0.053
1183.01|0.053
1191.47|0.053
1199.94|0.055
1208.40|0.055
1216.87|0.055
1225.33|0.055
1233.80|0.056
1242.26|0.057
1251.26|0.057
1259.19|0.057
1268.19|0.058
1276.12|0.059
1284.59|0.059
1293.05|0.062
1301.52|0.062
1309.98|0.064
1318.80|0.064
1329.03|0.065
1338.03|0.067
1345.96|0.069
1356.54|0.070
1365.36|0.073
1372.41|0.075
1380.35|0.079
1385.11|0.079
1392.88|0.083
1402.05|0.085
1407.87|0.088
1414.74|0.090
1422.14|0.094
1428.50|0.097
1433.26|0.100
1438.55|0.103
1442.26|0.106
1449.13|0.110
1454.95|0.113
1459.72|0.116
1464.47|0.119
1472.41|0.123
1476.12|0.128
1482.46|0.132
1485.11|0.134
1491.99|0.137
1495.16|0.141
1500.45|0.145
1505.22|0.148
1509.97|0.151
1513.15|0.154
1516.33|0.159
1521.09|0.161
1524.79|0.164
1529.02|0.168
1531.14|0.170
1535.90|0.172
1540.13|0.176
1544.89|0.179
1548.07|0.182
1553.36|0.188
1557.07|0.190
1563.41|0.195
1568.17|0.199
1571.35|0.203
1576.64|0.206
1582.46|0.209
1587.22|0.214
1590.39|0.218
1594.63|0.223
1597.80|0.225
1604.15|0.229
1607.86|0.232
1612.09|0.236
1616.85|0.241
1620.03|0.244
1624.26|0.249
1627.43|0.252
1633.25|0.256
1637.49|0.258
1642.24|0.263
1646.47|0.267
1649.65|0.272
1654.94|0.276
1659.17|0.278
1665.52|0.283
1669.23|0.287
1673.99|0.291
1678.22|0.295
1682.45|0.300
1687.74|0.304
1691.98|0.308
1697.27|0.313
1701.50|0.318
1707.85|0.322
1711.55|0.327
1715.79|0.332
1720.55|0.336
1724.78|0.340
1729.01|0.344
1733.25|0.348
1737.48|0.353
1741.71|0.357
1745.94|0.361
1750.18|0.366
1755.47|0.370
1759.70|0.375
1764.99|0.380
1769.22|0.384
1775.57|0.389
1779.80|0.393
1784.04|0.397
1788.27|0.402
1792.50|0.406
1796.73|0.411
1800.97|0.415
1805.20|0.419
1809.43|0.424
1813.67|0.428
1817.90|0.433
1822.13|0.437
1826.36|0.442
1830.60|0.446
1834.83|0.450
1839.06|0.455
1842.24|0.459
1846.47|0.464
1848.59|0.468
1852.82|0.472
1857.05|0.476
1860.22|0.481
1864.46|0.485
1868.69|0.490
1872.92|0.494
1877.15|0.498
1880.86|0.503
1885.62|0.508
1889.85|0.512
1893.56|0.517
1898.32|0.521
1901.49|0.526
1903.61|0.530
1906.78|0.534
1909.96|0.536
1913.13|0.539
1915.25|0.542
1919.48|0.544
1923.71|0.550
1924.77|0.554
1927.95|0.558
1932.18|0.562
1934.30|0.567
1938.53|0.571
1942.76|0.576
1945.93|0.581
1949.11|0.585
1953.34|0.589
1955.45|0.592
1959.69|0.596
1962.34|0.600
1966.04|0.605
1970.27|0.609
1973.45|0.614
1977.68|0.618
1978.74|0.623
1982.97|0.627
1987.73|0.631
1991.44|0.636
1994.61|0.640
1997.79|0.645
1999.90|0.649
2004.13|0.651
2008.37|0.655
2010.48|0.660
2014.71|0.665
2016.83|0.669
2021.06|0.673
2025.30|0.677
2027.94|0.682
